CVE_ENT,DESC_ENT,CVE_DISTRITO,DESC_DISTRITO
0,Estados Unidos Mexicanos,0,Total Nacional
1,Aguascalientes,0,Total Estatal
1,Aguascalientes,1,Distrito 001
1,Aguascalientes,2,Distrito 002
1,Aguascalientes,3,Distrito 003
2,Baja California,0,Total Estatal
2,Baja California,1,Distrito 001
2,Baja California,2,Distrito 002
2,Baja California,3,Distrito 003
2,Baja California,4,Distrito 004
2,Baja California,5,Distrito 005
2,Baja California,6,Distrito 006
2,Baja California,7,Distrito 007
2,Baja California,8,Distrito 008
3,Baja California Sur,0,Total Estatal
3,Baja California Sur,1,Distrito 001
3,Baja California Sur,2,Distrito 002
4,Campeche,0,Total Estatal
4,Campeche,1,Distrito 001
4,Campeche,2,Distrito 002
5,Coahuila de Zaragoza,0,Total Estatal
5,Coahuila de Zaragoza,1,Distrito 001
5,Coahuila de Zaragoza,2,Distrito 002
5,Coahuila de Zaragoza,3,Distrito 003
5,Coahuila de Zaragoza,4,Distrito 004
5,Coahuila de Zaragoza,5,Distrito 005
5,Coahuila de Zaragoza,6,Distrito 006
5,Coahuila de Zaragoza,7,Distrito 007
6,Colima,0,Total Estatal
6,Colima,1,Distrito 001
6,Colima,2,Distrito 002
7,Chiapas,0,Total Estatal
7,Chiapas,1,Distrito 001
7,Chiapas,2,Distrito 002
7,Chiapas,3,Distrito 003
7,Chiapas,4,Distrito 004
7,Chiapas,5,Distrito 005
7,Chiapas,6,Distrito 006
7,Chiapas,7,Distrito 007
7,Chiapas,8,Distrito 008
7,Chiapas,9,Distrito 009
7,Chiapas,10,Distrito 010
7,Chiapas,11,Distrito 011
7,Chiapas,12,Distrito 012
7,Chiapas,13,Distrito 013
8,Chihuahua,0,Total Estatal
8,Chihuahua,1,Distrito 001
8,Chihuahua,2,Distrito 002
8,Chihuahua,3,Distrito 003
8,Chihuahua,4,Distrito 004
8,Chihuahua,5,Distrito 005
8,Chihuahua,6,Distrito 006
8,Chihuahua,7,Distrito 007
8,Chihuahua,8,Distrito 008
8,Chihuahua,9,Distrito 009
